[03:47:13] [main/INFO]: Loading Minecraft 1.20.1 with Fabric Loader 0.18.2
[03:47:13] [main/INFO]: Fabric is preparing JARs on first launch, this may take a few seconds...
[03:47:13] [main/INFO]: Loading 4 mods:
	- fabricloader 0.18.2
	   \-- mixinextras 0.5.0
	- java 17
	- minecraft 1.20.1
[03:47:13] [main/INFO]: SpongePowered MIXIN Subsystem Version=0.8.7 Source=file:/workspaces/turbo-parakeet/servidor_minecraft/libraries/net/fabricmc/sponge-mixin/0.16.5+mixin.0.8.7/sponge-mixin-0.16.5+mixin.0.8.7.jar Service=Knot/Fabric Env=SERVER
[03:47:20] [main/INFO]: Environment: authHost='https://authserver.mojang.com', accountsHost='https://api.mojang.com', sessionHost='https://sessionserver.mojang.com', servicesHost='https://api.minecraftservices.com', name='PROD'
[03:47:22] [main/INFO]: Loaded 7 recipes
[03:47:23] [main/INFO]: Loaded 1271 advancements
[03:47:23] [Server thread/INFO]: Starting minecraft server version 1.20.1
[03:47:23] [Server thread/INFO]: Loading properties
[03:47:23] [Server thread/INFO]: Default game type: SURVIVAL
[03:47:23] [Server thread/INFO]: Generating keypair
[03:47:23] [Server thread/INFO]: Starting Minecraft server on *:25565
[03:47:24] [Server thread/INFO]: Using epoll channel type
[03:47:24] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[03:47:24] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[03:47:24] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[03:47:24] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[03:47:24] [Server thread/INFO]: Preparing level "world"
[03:47:35] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[03:47:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:36] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:37] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:38] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:39] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:40] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:41] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:42] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:43] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:44] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:45] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:46] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:47] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:48] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:49] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:50] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:51] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:52] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:53] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:54] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:57] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:58] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:47:59] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:00] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:01] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:02] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:03] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:04] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:05] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:06] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:07] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:08] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:09] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:10] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:11] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:12] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:13] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:14] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:15] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:16] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:17] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:18] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:19] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:20] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[03:48:20] [Worker-Main-1/INFO]: Preparing spawn area: 42%
[03:48:21] [Worker-Main-1/INFO]: Preparing spawn area: 83%
[03:48:22] [Server thread/INFO]: Time elapsed: 47418 ms
[03:48:23] [Server thread/INFO]: Done (58.817s)! For help, type "help"
[03:55:31] [Server thread/INFO]: LightAster[/100.124.106.34:50978] logged in with entity id 190 at (-25.5, 71.0, -24.5)
[03:55:31] [Server thread/INFO]: LightAster joined the game
[04:02:16] [Server thread/INFO]: LightAster lost connection: Timed out
[04:02:16] [Server thread/INFO]: LightAster left the game
